source_id,title,publisher,published_date,url,archive_type,local_filename,sha256,accessed_at,evidence_use,limitations
"J-WB-RPW","Remittance Prices Worldwide","World Bank","2025-Q3","https://remittanceprices.worldbank.org/","existing-local-file","worldbank-rpw-q325.pdf","a41fd59a81dbdf1a60873c60506ae473135e8d97d07d788952ff133d828a9662","2026-08-31","367-corridor coverage and 6.36% global average cost","Pre-existing local report archive; category cost benchmark only, not stablecoin adoption or retention."
"J-WB-MDB40","Migration and Development Brief 40","World Bank / KNOMAD","2024-06","https://www.knomad.org/publication/migration-and-development-brief-40","existing-local-file","worldbank-migration-development-brief-40.pdf","57ec3dfba3601b3a4a80441c09993a4bc897d4306fc081f8b83b851c788c26ec","2026-08-31","Pre-existing remittance category-size context","Pre-existing local report archive; category size is not stablecoin addressable volume, user count, or retention."
"J-TELEMATICS-REMITTANCE","Stablecoin remittance adoption and continuance study","Telematics & Informatics / ScienceDirect","2025","https://www.sciencedirect.com/science/article/pii/S0736585324001345","link-only","","","2026-08-31","Bounded 866-person U.S. remittance-engaged sample and 26% adoption signal","Controller-verified package; not fetched in this run; sender-side bounded sample cannot be globalized or treated as recipient retention."
"J-STRIPE-REMITTANCE","Stablecoin remittances explained","Stripe","2026","https://stripe.com/en-sg/resources/more/stablecoin-remittances-explained","link-only","","","2026-08-31","Rail visibility and recipient cash-out, hold, or spend outcome boundary","Controller-verified package; not fetched in this run; explanatory source, not adoption statistics."
"K-WISE-FY26","Wise FY26 results","Wise","FY26","https://owners.wise.com/news-releases/news-release-details/wise-fy26-results","link-only","","","2026-08-31","Fiat alternative scale, holdings, card spend, and speed benchmark","Controller-verified package; not fetched in this run; not stablecoin target count or retention proof."
"K-KAST-SERIES-A","KAST announces $80M Series A","KAST","2026","https://www.kast.xyz/blog/kast-announces-80m-series-a","link-only","","","2026-08-31","KAST provider-reported users and annualized transaction volume","Controller-verified package; not fetched in this run; provider-reported scale is not independent market size or retention."
"K-KAST-FREELANCERS","KAST freelancers","KAST","2026","https://www.kast.xyz/freelancers","link-only","","","2026-08-31","Freelancer receive/hold/spend proposition and route","Controller-verified package; not fetched in this run; proposition is not usage or same-user evidence."
"K-REDOTPAY","Building trust: protecting users at RedotPay","RedotPay","2026","https://www.redotpay.com/hi/news/building-trust-how-were-protecting-users-at-redotpay","link-only","","","2026-08-31","Generic crypto/stablecoin spend alternative scale","Controller-verified package; not fetched in this run; keep link-only and do not assert a downloaded archive."
"F-VISA-STABLECOIN-CARDS","Stablecoin-linked card payment evidence","Visa","2025-2026","https://www.visa.com/en-us/thought-leadership/innovation/stablecoin-linked-cards-monetize-money-movement","link-only","","","2026-08-31","Existing Stage14 payment-vs-retention boundary","Reused as a link-only existing source; payment volume is not a people count, balance retention, or same-user overlap."
"L-KCFED-STABLECOIN-FUNCTIONS","What are stablecoins used for today?","Federal Reserve Bank of Kansas City","2026","https://www.kansascityfed.org/research/payments-system-research-briefings/what-are-stablecoins-used-for-today-estimating-the-distribution-of-stablecoins/","link-only","","","2026-08-31","Existing Stage14 function separation for payment-vs-retention boundary","Reused as a link-only existing source; modeled function shares are not people counts or retention."
"X-BANXICO-REMITTANCE-PDF","Banxico remittance source archive","Banco de México","2025","https://www.banxico.org.mx/SieInternet/consultarDirectorioInternetAction.do?sector=1&accion=consultarDirectorioCuadros&locale=es","existing-local-file","banxico-remittances-2025.pdf","b03760434882f89a40c0b1e97ec5e87b7b51339146dc16a0a2e4c3adf1465cf9","2026-08-31","Pre-existing Stage14 remittance source archive","Not used for a new claim in this bounded materialization; provenance was not re-downloaded."
"X-CIRCLE-IFS-2026","Internet Financial System Report 2026","Circle","2026","","existing-local-file","circle-internet-financial-system-2026.pdf","6f0c405ce6feb149678ee7f1faac596e2a37476f0213d75671d0fba89c249930","2026-08-31","Pre-existing Stage14 source archive","Origin URL was not supplied in the bounded package; no new fetch; not used for a new claim in this materialization."
