metric_id,source_scope,period_or_cutoff,population_definition,metric,value,unit,denominator,derived_rate_pct,evidence_class,confidence,supports,does_not_support,notes
repeat_deposit_users_ge_2,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,users with >=2 deposits,15,users,31,48.4,Observed AIX Behavior,high,Repeated deposit behavior,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,15/31.
repeat_capture_users_ge_2,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,users with >=2 later successful purchase captures,15,users,31,48.4,Observed AIX Behavior,high,Repeated later spend proxy behavior,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,15/31.
repeat_both_deposit_and_capture,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,users with both >=2 deposits and >=2 later successful purchase captures,10,users,31,32.3,Observed AIX Behavior,high,Repeated behavior on both sides of the proxy,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,10/31.
deposit_span_ge_7d,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,deposit span >=7d,9,users,31,29.0,Observed AIX Behavior,high,Longer observed deposit activity span,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,9/31.
deposit_span_ge_30d,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,deposit span >=30d,7,users,31,22.6,Observed AIX Behavior,high,Longer observed deposit activity span,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,7/31.
post_deposit_capture_span_ge_7d,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,post-deposit successful purchase capture span >=7d,9,users,31,29.0,Observed AIX Behavior,high,Longer observed later-spend proxy span,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,9/31.
post_deposit_capture_span_ge_30d,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,post-deposit successful purchase capture span >=30d,7,users,31,22.6,Observed AIX Behavior,high,Longer observed later-spend proxy span,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,7/31.
both_spans_ge_30d,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,users with both deposit span and post-deposit capture span >=30d,6,users,31,19.4,Observed AIX Behavior,high,Sustained observed activity across both event types,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,6/31.
deposit_activity_ge_2_calendar_months,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,deposits in >=2 calendar months,8,users,31,25.8,Observed AIX Behavior,high,Cross-month deposit activity,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,8/31.
capture_activity_ge_2_calendar_months,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,later successful purchase captures in >=2 calendar months,9,users,31,29.0,Observed AIX Behavior,high,Cross-month later-spend proxy activity,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,9/31.
both_activity_ge_2_calendar_months,AIX internal cohort analysis,Stage14 snapshot,31 unique users with at least one completed deposit,both deposit and later capture activity in >=2 calendar months,6,users,31,19.4,Observed AIX Behavior,high,Cross-month activity on both sides of the proxy,intermediate balance retention; salary/income source; stablecoin preference; market target; causality; AIX right-to-win,6/31.
