metric_id,source_scope,source_url,observed_period_or_date,population_or_sample,metric,value,unit,numerator,denominator,derived_rate_pct,method,evidence_class,confidence,supports,does_not_support,notes
"imf_VNM_inflation_2025","G|IMF DataMapper PCPIPCH|VNM","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2025","Vietnam country macro series","annual_consumer_price_inflation","3.3","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","API value preserved as supplied; vintage/status is not reclassified here."
"imf_VNM_inflation_2026","G|IMF DataMapper PCPIPCH|VNM","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2026","Vietnam country macro series","annual_consumer_price_inflation","4.9","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","API value preserved as supplied; vintage/status is not reclassified here."
"imf_CMR_inflation_2024","G|IMF DataMapper PCPIPCH|CMR","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2024","Cameroon country macro series","annual_consumer_price_inflation","4.5","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","Use only as structural macro evidence."
"imf_CMR_inflation_2025","G|IMF DataMapper PCPIPCH|CMR","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2025","Cameroon country macro series","annual_consumer_price_inflation","3.4","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","API value preserved as supplied; vintage/status is not reclassified here."
"imf_CMR_inflation_2026","G|IMF DataMapper PCPIPCH|CMR","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2026","Cameroon country macro series","annual_consumer_price_inflation","3.5","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","API value preserved as supplied; vintage/status is not reclassified here."
"imf_TJK_inflation_2024","G|IMF DataMapper PCPIPCH|TJK","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2024","Tajikistan country macro series","annual_consumer_price_inflation","3.5","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","Use only as structural macro evidence."
"imf_TJK_inflation_2025","G|IMF DataMapper PCPIPCH|TJK","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2025","Tajikistan country macro series","annual_consumer_price_inflation","3.4","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","API value preserved as supplied; vintage/status is not reclassified here."
"imf_TJK_inflation_2026","G|IMF DataMapper PCPIPCH|TJK","https://www.imf.org/external/datamapper/api/v1/PCPIPCH","2026","Tajikistan country macro series","annual_consumer_price_inflation","4.0","percent","","Not applicable","","Direct value extraction from official API snapshot","macro","High for API observation","Structural macro-pressure context","Stablecoin behavior; user adoption; retention; worker or saver counts","API value preserved as supplied; vintage/status is not reclassified here."
"deel_ranked_market_ARG","C|Deel Global Hiring Report 2026","https://www.deel.com/global-hiring-report-2026/","2025 dataset","Reported stablecoin contractor-adoption ranking; Argentina","reported_stablecoin_contractor_adoption_ranking_member","Argentina","market","","Ranking denominator not supplied","","Provider-reported ranking/co-location signal","provider_report","Directional","Directional country co-location","Country adoption rate; same-user retention; market size","Ranking membership is not a user count or rate."
"deel_ranked_market_CMR","C|Deel Global Hiring Report 2026","https://www.deel.com/global-hiring-report-2026/","2025 dataset","Reported stablecoin contractor-adoption ranking; Cameroon","reported_stablecoin_contractor_adoption_ranking_member","Cameroon","market","","Ranking denominator not supplied","","Provider-reported ranking/co-location signal","provider_report","Directional","Directional country co-location","Country adoption rate; same-user retention; market size","Ranking membership is not a user count or rate."
"deel_ranked_market_KOR","C|Deel Global Hiring Report 2026","https://www.deel.com/global-hiring-report-2026/","2025 dataset","Reported stablecoin contractor-adoption ranking; South Korea","reported_stablecoin_contractor_adoption_ranking_member","South Korea","market","","Ranking denominator not supplied","","Provider-reported ranking/co-location signal","provider_report","Directional","Directional country co-location","Country adoption rate; same-user retention; market size","Ranking membership is not a user count or rate."
"deel_ranked_market_TUR","C|Deel Global Hiring Report 2026","https://www.deel.com/global-hiring-report-2026/","2025 dataset","Reported stablecoin contractor-adoption ranking; Türkiye","reported_stablecoin_contractor_adoption_ranking_member","Türkiye","market","","Ranking denominator not supplied","","Provider-reported ranking/co-location signal","provider_report","Directional","Directional country co-location","Country adoption rate; same-user retention; market size","Ranking membership is not a user count or rate."
"deel_ranked_market_VNM","C|Deel Global Hiring Report 2026","https://www.deel.com/global-hiring-report-2026/","2025 dataset","Reported stablecoin contractor-adoption ranking; Vietnam","reported_stablecoin_contractor_adoption_ranking_member","Vietnam","market","","Ranking denominator not supplied","","Provider-reported ranking/co-location signal","provider_report","Directional","Directional country co-location","Country adoption rate; same-user retention; market size","Ranking membership is not a user count or rate."
"deel_ranked_market_TJK","C|Deel Global Hiring Report 2026","https://www.deel.com/global-hiring-report-2026/","2025 dataset","Reported stablecoin contractor-adoption ranking; Tajikistan","reported_stablecoin_contractor_adoption_ranking_member","Tajikistan","market","","Ranking denominator not supplied","","Provider-reported ranking/co-location signal","provider_report","Directional","Directional country co-location","Country adoption rate; same-user retention; market size","Ranking membership is not a user count or rate."
"chainalysis_latam_crypto_volume","H|Chainalysis LATAM 2025","https://www.chainalysis.com/blog/latin-america-crypto-adoption-2025/","Jul 2022-Jun 2025","LATAM transaction/network activity","crypto_volume_received","1500000000000","USD_approx_lower_bound","","LATAM network activity; exact weighting not supplied","","Provider-reported network activity; value is a lower-bound magnitude","network_activity","Medium","Regional crypto activity context","People count; stablecoin adoption; retention; market size","Reported as nearly $1.5T; not a precise people-level measure."
"chainalysis_argentina_received_value","H|Chainalysis LATAM 2025","https://www.chainalysis.com/blog/latin-america-crypto-adoption-2025/","Jul 2022-Jun 2025","Argentina transaction/network activity","crypto_value_received","93900000000","USD","","Argentina network activity; exact weighting not supplied","","Provider-reported network activity","network_activity","Medium","Argentina crypto activity context","Unique people; stablecoin preference; retention; worker or saver count","Transaction activity is not a user count."
"chainalysis_stablecoin_purchase_share_COP","H|Chainalysis LATAM 2025","https://www.chainalysis.com/blog/latin-america-crypto-adoption-2025/","Jul 2024-Jun 2025","Order-book exchange-purchase dataset denominated in COP","stablecoin_share_of_exchange_purchases",">50","percent_lower_bound","","COP-denominated exchange purchases in order-book dataset","","Provider-reported order-book purchase analysis","network_activity","Medium","Stablecoin market-activity context","People adoption; retained balances; representative CEX-wide activity","Order-book dataset is not comprehensive of all CEX activity."
"chainalysis_stablecoin_purchase_share_ARS","H|Chainalysis LATAM 2025","https://www.chainalysis.com/blog/latin-america-crypto-adoption-2025/","Jul 2024-Jun 2025","Order-book exchange-purchase dataset denominated in ARS","stablecoin_share_of_exchange_purchases",">50","percent_lower_bound","","ARS-denominated exchange purchases in order-book dataset","","Provider-reported order-book purchase analysis","network_activity","Medium","Stablecoin market-activity context","People adoption; retained balances; representative CEX-wide activity","Order-book dataset is not comprehensive of all CEX activity."
"chainalysis_stablecoin_purchase_share_BRL","H|Chainalysis LATAM 2025","https://www.chainalysis.com/blog/latin-america-crypto-adoption-2025/","Jul 2024-Jun 2025","Order-book exchange-purchase dataset denominated in BRL","stablecoin_share_of_exchange_purchases",">50","percent_lower_bound","","BRL-denominated exchange purchases in order-book dataset","","Provider-reported order-book purchase analysis","network_activity","Medium","Stablecoin market-activity context","People adoption; retained balances; representative CEX-wide activity","Order-book dataset is not comprehensive of all CEX activity."
"chainalysis_ARG_stablecoin_transaction_share_2024","H|Chainalysis LATAM 2024","https://www.chainalysis.com/blog/latin-america-crypto-adoption-2024/","2024","Argentina crypto transaction activity","stablecoin_transaction_share","61.8","percent","","Argentina transaction dataset; exact user denominator not supplied","","Provider-reported transaction-share analysis","network_activity","Medium","Stablecoin transaction-activity context","People adoption; retained balances; same-user behavior","Transaction share is not a stablecoin-user share."
"chainalysis_BRA_stablecoin_transaction_share_2024","H|Chainalysis LATAM 2024","https://www.chainalysis.com/blog/latin-america-crypto-adoption-2024/","2024","Brazil crypto transaction activity","stablecoin_transaction_share","59.8","percent","","Brazil transaction dataset; exact user denominator not supplied","","Provider-reported transaction-share analysis","network_activity","Medium","Stablecoin transaction-activity context","People adoption; retained balances; same-user behavior","Transaction share is not a stablecoin-user share."
"chainalysis_global_stablecoin_transaction_share_2024","H|Chainalysis LATAM 2024","https://www.chainalysis.com/blog/latin-america-crypto-adoption-2024/","2024","Global comparison benchmark","stablecoin_transaction_share","44.7","percent","","Global comparison dataset; exact user denominator not supplied","","Provider-reported transaction-share analysis","network_activity","Medium","Global comparison context","People adoption; retained balances; same-user behavior","Transaction share is not a stablecoin-user share."
"findex_ARG_adult_population","I|World Bank Global Findex 2025|ARG","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Argentina (ARG); all/all country row","pop_adult","35433130","adults_15plus_count","","Country adult population field","","Direct extraction from official CSV; 2024 all/all row","public_financial_inclusion","High","Financial-inclusion context","Stablecoin behavior; worker or remittance adoption; retention; target market size","Population context only."
"findex_ARG_account","I|World Bank Global Findex 2025|ARG","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Argentina (ARG); all/all country row; age 15+ indicator","account.t.d","0.8174424469","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","81.74424469","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Account-access context","Stablecoin behavior; worker or remittance adoption; retention; target market size","Glossary mapping: Account (%, age 15+)."
"findex_ARG_mobile_account","I|World Bank Global Findex 2025|ARG","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Argentina (ARG); all/all country row; age 15+ indicator","mobileaccount.t.d","0.5673954368","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","56.73954368","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Mobile-money-account context","Stablecoin behavior; worker or remittance adoption; retention; target market size","Glossary mapping: Mobile money account (%, age 15+)."
"findex_ARG_save_any","I|World Bank Global Findex 2025|ARG","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Argentina (ARG); all/all country row; age 15+ indicator","save.any.t.d","0.4804975430","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","48.04975430","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Saving-context variable","Stablecoin behavior; balance retention; target market size","Glossary mapping: Saved any money (%, age 15+)."
"findex_ARG_g20_received","I|World Bank Global Findex 2025|ARG","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Argentina (ARG); all/all country row; age 15+ indicator","g20.received","0.4545215224","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","45.45215224","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Digital-payment receiving context","Stablecoin behavior; worker or remittance adoption; retention","Glossary mapping: Received digital payments (%, age 15+)."
"findex_ARG_g20_made","I|World Bank Global Findex 2025|ARG","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Argentina (ARG); all/all country row; age 15+ indicator","g20.made","0.6541551861","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","65.41551861","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Digital-payment making context","Stablecoin behavior; worker or remittance adoption; retention","Glossary mapping: Made a digital payment (%, age 15+)."
"findex_ARG_g20_any","I|World Bank Global Findex 2025|ARG","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Argentina (ARG); all/all country row; age 15+ indicator","g20.any","0.7221273527","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","72.21273527","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Digital-payment context","Stablecoin behavior; worker or remittance adoption; retention","Glossary mapping: Made or received a digital payment (%, age 15+)."
"findex_CMR_adult_population","I|World Bank Global Findex 2025|CMR","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Cameroon (CMR); all/all country row","pop_adult","16524096","adults_15plus_count","","Country adult population field","","Direct extraction from official CSV; 2024 all/all row","public_financial_inclusion","High","Financial-inclusion context","Stablecoin behavior; worker or remittance adoption; retention; target market size","Population context only."
"findex_CMR_account","I|World Bank Global Findex 2025|CMR","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Cameroon (CMR); all/all country row; age 15+ indicator","account.t.d","0.6087379086","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","60.87379086","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Account-access context","Stablecoin behavior; worker or remittance adoption; retention; target market size","Glossary mapping: Account (%, age 15+)."
"findex_CMR_mobile_account","I|World Bank Global Findex 2025|CMR","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Cameroon (CMR); all/all country row; age 15+ indicator","mobileaccount.t.d","0.5506545184","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","55.06545184","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Mobile-money-account context","Stablecoin behavior; worker or remittance adoption; retention; target market size","Glossary mapping: Mobile money account (%, age 15+)."
"findex_CMR_save_any","I|World Bank Global Findex 2025|CMR","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Cameroon (CMR); all/all country row; age 15+ indicator","save.any.t.d","0.6565656303","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","65.65656303","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Saving-context variable","Stablecoin behavior; balance retention; target market size","Glossary mapping: Saved any money (%, age 15+)."
"findex_CMR_g20_received","I|World Bank Global Findex 2025|CMR","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Cameroon (CMR); all/all country row; age 15+ indicator","g20.received","0.4288772235","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","42.88772235","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Digital-payment receiving context","Stablecoin behavior; worker or remittance adoption; retention","Glossary mapping: Received digital payments (%, age 15+)."
"findex_CMR_g20_made","I|World Bank Global Findex 2025|CMR","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Cameroon (CMR); all/all country row; age 15+ indicator","g20.made","0.5645618638","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","56.45618638","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Digital-payment making context","Stablecoin behavior; worker or remittance adoption; retention","Glossary mapping: Made a digital payment (%, age 15+)."
"findex_CMR_g20_any","I|World Bank Global Findex 2025|CMR","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Cameroon (CMR); all/all country row; age 15+ indicator","g20.any","0.5963646684","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","59.63646684","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Digital-payment context","Stablecoin behavior; worker or remittance adoption; retention","Glossary mapping: Made or received a digital payment (%, age 15+)."
"findex_COL_adult_population","I|World Bank Global Findex 2025|COL","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Colombia (COL); all/all country row","pop_adult","41544122","adults_15plus_count","","Country adult population field","","Direct extraction from official CSV; 2024 all/all row","public_financial_inclusion","High","Financial-inclusion context","Stablecoin behavior; worker or remittance adoption; retention; target market size","Population context only."
"findex_COL_account","I|World Bank Global Findex 2025|COL","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Colombia (COL); all/all country row; age 15+ indicator","account.t.d","0.5705948563","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","57.05948563","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Account-access context","Stablecoin behavior; worker or remittance adoption; retention; target market size","Glossary mapping: Account (%, age 15+)."
"findex_COL_mobile_account","I|World Bank Global Findex 2025|COL","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Colombia (COL); all/all country row; age 15+ indicator","mobileaccount.t.d","0.3914655926","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","39.14655926","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Mobile-money-account context","Stablecoin behavior; worker or remittance adoption; retention; target market size","Glossary mapping: Mobile money account (%, age 15+)."
"findex_COL_save_any","I|World Bank Global Findex 2025|COL","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Colombia (COL); all/all country row; age 15+ indicator","save.any.t.d","0.3469889840","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","34.69889840","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Saving-context variable","Stablecoin behavior; balance retention; target market size","Glossary mapping: Saved any money (%, age 15+)."
"findex_COL_g20_received","I|World Bank Global Findex 2025|COL","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Colombia (COL); all/all country row; age 15+ indicator","g20.received","0.2882339813","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","28.82339813","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Digital-payment receiving context","Stablecoin behavior; worker or remittance adoption; retention","Glossary mapping: Received digital payments (%, age 15+)."
"findex_COL_g20_made","I|World Bank Global Findex 2025|COL","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Colombia (COL); all/all country row; age 15+ indicator","g20.made","0.4252109629","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","42.52109629","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Digital-payment making context","Stablecoin behavior; worker or remittance adoption; retention","Glossary mapping: Made a digital payment (%, age 15+)."
"findex_COL_g20_any","I|World Bank Global Findex 2025|COL","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Colombia (COL); all/all country row; age 15+ indicator","g20.any","0.4923346363","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","49.23346363","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Digital-payment context","Stablecoin behavior; worker or remittance adoption; retention","Glossary mapping: Made or received a digital payment (%, age 15+)."
"findex_TJK_adult_population","I|World Bank Global Findex 2025|TJK","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Tajikistan (TJK); all/all country row","pop_adult","6596875","adults_15plus_count","","Country adult population field","","Direct extraction from official CSV; 2024 all/all row","public_financial_inclusion","High","Financial-inclusion context","Stablecoin behavior; worker or remittance adoption; retention; target market size","Population context only."
"findex_TJK_account","I|World Bank Global Findex 2025|TJK","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Tajikistan (TJK); all/all country row; age 15+ indicator","account.t.d","0.5451937714","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","54.51937714","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Account-access context","Stablecoin behavior; worker or remittance adoption; retention; target market size","Glossary mapping: Account (%, age 15+)."
"findex_TJK_mobile_account","I|World Bank Global Findex 2025|TJK","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Tajikistan (TJK); all/all country row; age 15+ indicator","mobileaccount.t.d","0.1443021012","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","14.43021012","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Mobile-money-account context","Stablecoin behavior; worker or remittance adoption; retention; target market size","Glossary mapping: Mobile money account (%, age 15+)."
"findex_TJK_save_any","I|World Bank Global Findex 2025|TJK","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Tajikistan (TJK); all/all country row; age 15+ indicator","save.any.t.d","0.2829979504","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","28.29979504","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Saving-context variable","Stablecoin behavior; balance retention; target market size","Glossary mapping: Saved any money (%, age 15+)."
"findex_TJK_g20_received","I|World Bank Global Findex 2025|TJK","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Tajikistan (TJK); all/all country row; age 15+ indicator","g20.received","0.3118826050","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","31.18826050","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Digital-payment receiving context","Stablecoin behavior; worker or remittance adoption; retention","Glossary mapping: Received digital payments (%, age 15+)."
"findex_TJK_g20_made","I|World Bank Global Findex 2025|TJK","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Tajikistan (TJK); all/all country row; age 15+ indicator","g20.made","0.3930414948","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","39.30414948","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Digital-payment making context","Stablecoin behavior; worker or remittance adoption; retention","Glossary mapping: Made a digital payment (%, age 15+)."
"findex_TJK_g20_any","I|World Bank Global Findex 2025|TJK","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Tajikistan (TJK); all/all country row; age 15+ indicator","g20.any","0.4933478203","proportion_0_to_1","","All adults age 15+; indicator definition uses respondents","49.33478203","Direct extraction from official CSV; label verified in official glossary","public_financial_inclusion","High","Digital-payment context","Stablecoin behavior; worker or remittance adoption; retention","Glossary mapping: Made or received a digital payment (%, age 15+)."
"findex_TUR_adult_population","I|World Bank Global Findex 2025|TUR","https://thedocs.worldbank.org/en/doc/be6615202d1f08a25855c8ac2d615122-0050012025/related/GlobalFindexDatabase2025.csv","2024","Türkiye (TUR; source row name Turkiye); all/all country row","pop_adult","66691005","adults_15plus_count","","Country adult population field","","Direct extraction from official CSV; 2024 all/all row","public_financial_inclusion","High","Financial-inclusion context","Stablecoin behavior; worker or remittance adoption; retention; target market size","Population context only."
